Extension,Count,Total_Size_MB,Category
.xlsx,12273,5541.09,Spreadsheets
.json,2214,1983.79,Data
.xlsm,1267,2959.89,Other
.html,866,13.53,Code
.hrp,446,66.54,Other
.md,238,2.01,Documents
.py,237,2.27,Code
.docx,199,247.52,Documents
.txt,155,5.74,Documents
.msg,107,36.56,Other
.doc,76,115.56,Documents
.pdf,73,55.2,Documents
.sql,56,0.18,Code
.pptx,51,155.18,Presentations
.db,38,1.71,Other
.bat,29,0.03,Other
.js,25,0.24,Code
.svg,24,0.19,Images
.png,21,3.15,Images
.ps1,13,0.15,Other
.backup_20251009,11,0.05,Other
.tra,8,0.56,Other
.ini,7,0.0,Other
.css,5,0.18,Code
,4,0.0,Other
.zip,4,23.54,Archives
.bak,4,163.14,Other
.ppt,3,1.06,Presentations
.xls,3,0.35,Spreadsheets
.pfx,3,0.01,Other
.cer,3,0.0,Other
.lnk,2,0.01,Other
.dqy,2,0.0,Other
.ttf,2,0.02,Other
.xlam,2,0.07,Other
.xlamsup,2,0.07,Other
.csv,2,0.02,Spreadsheets
.yaml,1,0.01,Data
.ai,1,2.96,Other
.mp4,1,179.96,Other
.mermaid,1,0.0,Other
.properties,1,0.0,Other
.bob,1,0.01,Other
.ok-lpi,1,0.0,Other
.ok,1,0.0,Other
.backup,1,0.0,Other
.jpg,1,2.32,Images
.eml,1,1.45,Other
